epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.126,0.95394,1.82583,1.60792,0.02045,1,0.22578,0.06585,1.35983,2.50422,2.35925,0.08515,0.00015,0.00015
2,194.866,0.95943,1.01908,1.5402,0.03109,1,0.92841,0.53803,1.05539,2.60343,1.96959,0.069308,0.000307954,0.000307954
3,285.251,0.91425,0.83672,1.48318,1,0.94491,0.98704,0.60625,1.21497,1.73179,1.85207,0.0534638,0.000463796,0.000463796
4,375.332,0.93781,0.87465,1.51759,0.99897,1,0.995,0.69743,1.00267,0.74822,1.70831,0.0376175,0.000617526,0.000617526
5,466.722,0.93889,0.79471,1.50742,0.9991,1,0.995,0.67656,1.1024,0.8133,1.85488,0.0217691,0.000769144,0.000769144
6,557.682,0.87871,0.74899,1.47032,0.98719,1,0.9948,0.6801,1.08486,0.99019,1.8347,0.00591865,0.00091865,0.00091865
7,647.016,0.8637,0.72608,1.45081,0.99578,1,0.995,0.67166,1.20065,1.18446,1.97316,0.0009604,0.0009604,0.0009604
8,739.464,0.80934,0.66891,1.37937,0.95189,0.98935,0.99225,0.77058,0.91234,0.72856,1.44972,0.0009538,0.0009538,0.0009538
9,830.456,0.83017,0.66119,1.41905,0.99863,0.99,0.9948,0.7097,1.08317,0.71159,1.8312,0.0009472,0.0009472,0.0009472
10,921.561,0.80514,0.6411,1.40372,0.98632,0.99,0.99396,0.74585,0.98447,0.75826,1.5743,0.0009406,0.0009406,0.0009406
11,1021.01,0.86182,0.64816,1.44012,0.99868,1,0.995,0.70315,1.13338,0.70386,1.78066,0.000934,0.000934,0.000934
12,1122.25,0.80368,0.62434,1.38012,0.99029,0.98,0.99391,0.74013,1.02918,0.59372,1.67688,0.0009274,0.0009274,0.0009274
13,1224.05,0.81063,0.63793,1.37419,0.99814,0.99,0.9949,0.76852,0.91222,0.53246,1.45379,0.0009208,0.0009208,0.0009208
14,1327.44,0.8211,0.66083,1.39791,0.99893,1,0.995,0.82471,0.82237,0.49989,1.35568,0.0009142,0.0009142,0.0009142
15,1431.57,0.75385,0.56531,1.31832,0.9828,1,0.995,0.8142,0.74137,0.48409,1.26739,0.0009076,0.0009076,0.0009076
16,1534.91,0.73131,0.56059,1.30597,0.98902,1,0.995,0.8285,0.6895,0.48809,1.21794,0.000901,0.000901,0.000901
17,1638.05,0.80291,0.60713,1.38201,0.99765,1,0.995,0.79585,0.79173,0.49747,1.37634,0.0008944,0.0008944,0.0008944
18,1741.34,0.77594,0.56531,1.32698,0.99861,1,0.995,0.79334,0.84352,0.48342,1.30783,0.0008878,0.0008878,0.0008878
19,3138.74,0.78076,0.58101,1.34909,0.99367,0.97,0.99432,0.79332,0.81348,0.48529,1.35928,0.0008812,0.0008812,0.0008812
20,3252.1,0.71952,0.52917,1.30055,0.98928,1,0.9949,0.77736,0.83087,0.48879,1.38831,0.0008746,0.0008746,0.0008746
21,3355.43,0.75189,0.57164,1.36894,0.99707,0.96,0.99355,0.77983,0.86619,0.46196,1.39574,0.000868,0.000868,0.000868
22,3469.78,0.78885,0.57767,1.36961,0.98256,0.99,0.9942,0.7853,0.81335,0.51573,1.41277,0.0008614,0.0008614,0.0008614
23,3577.38,0.75287,0.55257,1.34914,1,0.9967,0.995,0.80382,0.82244,0.51016,1.38532,0.0008548,0.0008548,0.0008548
24,3683.46,0.75086,0.52974,1.3745,1,0.98394,0.99471,0.82343,0.75535,0.52974,1.28303,0.0008482,0.0008482,0.0008482
25,3790.72,0.78353,0.54056,1.38204,0.98386,0.97,0.99375,0.7752,0.81956,0.53315,1.4143,0.0008416,0.0008416,0.0008416
26,3900.95,0.74693,0.55041,1.32727,0.99904,1,0.995,0.76731,0.91693,0.44036,1.50662,0.000835,0.000835,0.000835
27,4007.57,0.7168,0.48699,1.28591,0.99882,1,0.995,0.81427,0.75711,0.40577,1.31928,0.0008284,0.0008284,0.0008284
28,4117.94,0.71003,0.51752,1.31172,0.99784,1,0.995,0.78902,0.86742,0.44343,1.4155,0.0008218,0.0008218,0.0008218
29,4226.9,0.71356,0.52881,1.29788,0.99758,1,0.995,0.80171,0.81068,0.4704,1.35528,0.0008152,0.0008152,0.0008152
30,4332.5,0.72979,0.51592,1.33297,0.99796,1,0.995,0.78351,0.75985,0.50959,1.29625,0.0008086,0.0008086,0.0008086
31,4441.34,0.70903,0.51939,1.28812,0.99808,1,0.995,0.77926,0.83932,0.48913,1.4251,0.000802,0.000802,0.000802
32,4547.78,0.67254,0.48783,1.29548,0.99913,1,0.995,0.7682,0.8507,0.50883,1.34926,0.0007954,0.0007954,0.0007954
33,4651.3,0.70698,0.48205,1.29291,0.99841,1,0.995,0.81014,0.67936,0.4235,1.22088,0.0007888,0.0007888,0.0007888
34,4749.84,0.70645,0.49257,1.29024,0.99812,1,0.995,0.79237,0.74415,0.41616,1.26004,0.0007822,0.0007822,0.0007822
35,4856.19,0.70301,0.48162,1.28701,0.99909,1,0.995,0.84153,0.69809,0.41698,1.26181,0.0007756,0.0007756,0.0007756
36,4961.44,0.7009,0.48191,1.27441,0.99928,1,0.995,0.84235,0.66772,0.35708,1.17902,0.000769,0.000769,0.000769
37,5056.12,0.66213,0.47632,1.25081,0.99895,1,0.995,0.82596,0.69805,0.36669,1.19233,0.0007624,0.0007624,0.0007624
38,5150.96,0.68668,0.49777,1.28953,0.99752,1,0.995,0.8259,0.71419,0.35042,1.2226,0.0007558,0.0007558,0.0007558
39,5250.01,0.66038,0.45788,1.2627,0.99675,1,0.995,0.80799,0.78362,0.36906,1.34634,0.0007492,0.0007492,0.0007492
40,5354.94,0.69353,0.484,1.3106,0.98525,1,0.9948,0.84681,0.65796,0.3884,1.18742,0.0007426,0.0007426,0.0007426
41,5463.02,0.71757,0.4617,1.28471,0.99565,0.99,0.9949,0.81848,0.70717,0.38089,1.18053,0.000736,0.000736,0.000736
42,5569.38,0.71642,0.49042,1.29062,0.97035,1,0.9947,0.83138,0.7718,0.41295,1.35729,0.0007294,0.0007294,0.0007294
43,5674.2,0.67821,0.46988,1.30033,0.997,1,0.995,0.85245,0.72687,0.43587,1.23913,0.0007228,0.0007228,0.0007228
44,5777,0.67563,0.46727,1.28124,0.9983,1,0.995,0.82887,0.71364,0.39626,1.22406,0.0007162,0.0007162,0.0007162
45,5879.31,0.62206,0.43989,1.22272,0.99798,1,0.995,0.81097,0.81825,0.43353,1.3578,0.0007096,0.0007096,0.0007096
46,5981.88,0.65163,0.43173,1.24314,0.993,1,0.995,0.80812,0.80267,0.43248,1.3253,0.000703,0.000703,0.000703
47,6084.56,0.72008,0.45013,1.29613,0.99872,1,0.995,0.81015,0.80847,0.50099,1.39397,0.0006964,0.0006964,0.0006964
48,6186.01,0.6467,0.46631,1.23201,0.99756,1,0.995,0.82701,0.74407,0.38424,1.26437,0.0006898,0.0006898,0.0006898
49,6277.41,0.66039,0.42776,1.26035,0.98893,1,0.9946,0.83876,0.70395,0.3594,1.21967,0.0006832,0.0006832,0.0006832
50,6379.32,0.63545,0.43848,1.25265,0.99794,1,0.995,0.8335,0.72258,0.34998,1.21961,0.0006766,0.0006766,0.0006766
51,6501.41,0.62129,0.42093,1.22016,0.99904,1,0.995,0.82959,0.71219,0.33847,1.21403,0.00067,0.00067,0.00067
52,6620.33,0.62631,0.42118,1.21589,0.99907,1,0.995,0.84542,0.66534,0.38546,1.19036,0.0006634,0.0006634,0.0006634
53,6712.7,0.62632,0.42026,1.233,0.9979,1,0.995,0.84944,0.64405,0.34653,1.13347,0.0006568,0.0006568,0.0006568
54,6806.35,0.68709,0.45238,1.26325,0.99883,1,0.995,0.85503,0.65562,0.36606,1.18432,0.0006502,0.0006502,0.0006502
55,6912.43,0.63674,0.414,1.23539,0.99874,1,0.995,0.82807,0.70879,0.38958,1.17471,0.0006436,0.0006436,0.0006436
56,7042.84,0.63251,0.41851,1.23492,0.99657,1,0.995,0.81788,0.76157,0.4212,1.35425,0.000637,0.000637,0.000637
57,7170.89,0.66091,0.44412,1.25069,0.9992,1,0.995,0.83758,0.73356,0.36479,1.26236,0.0006304,0.0006304,0.0006304
58,7294.75,0.65512,0.42717,1.25321,0.99911,1,0.995,0.84064,0.72916,0.36446,1.26448,0.0006238,0.0006238,0.0006238
59,7404.64,0.59819,0.42109,1.21422,0.99927,1,0.995,0.8334,0.71945,0.34556,1.30112,0.0006172,0.0006172,0.0006172
60,7505.32,0.61748,0.43597,1.22567,0.99922,1,0.995,0.84285,0.68757,0.334,1.21594,0.0006106,0.0006106,0.0006106
61,7606.38,0.63127,0.42636,1.24251,0.9993,1,0.995,0.81655,0.69187,0.34091,1.27221,0.000604,0.000604,0.000604
62,7708.34,0.638,0.44178,1.21857,0.99422,0.99,0.9948,0.82391,0.69291,0.36158,1.3031,0.0005974,0.0005974,0.0005974
63,7810.37,0.63897,0.42273,1.23571,1,0.99808,0.995,0.84534,0.7033,0.36124,1.18484,0.0005908,0.0005908,0.0005908
64,7913.31,0.59753,0.42638,1.20927,0.99595,1,0.995,0.86125,0.65593,0.35425,1.21792,0.0005842,0.0005842,0.0005842
65,8015.62,0.60795,0.40702,1.22922,0.98932,1,0.9949,0.85016,0.66322,0.34206,1.21829,0.0005776,0.0005776,0.0005776
66,8117.64,0.66502,0.44143,1.27805,0.98925,1,0.9947,0.85857,0.64873,0.35521,1.18016,0.000571,0.000571,0.000571
67,8213.19,0.58751,0.41958,1.2175,0.98913,1,0.9948,0.84483,0.68934,0.38322,1.27253,0.0005644,0.0005644,0.0005644
68,8304.52,0.62371,0.42273,1.23731,0.99856,1,0.995,0.83866,0.69116,0.38668,1.24773,0.0005578,0.0005578,0.0005578
69,8397.65,0.59581,0.40094,1.20526,1,0.9992,0.995,0.83128,0.65862,0.34649,1.14404,0.0005512,0.0005512,0.0005512
70,8499.08,0.63156,0.42066,1.2523,0.99872,1,0.995,0.83299,0.64763,0.3231,1.13532,0.0005446,0.0005446,0.0005446
71,8600.45,0.59267,0.39161,1.19477,0.99887,1,0.995,0.85681,0.64805,0.32598,1.14999,0.000538,0.000538,0.000538
72,8701.81,0.58477,0.40841,1.19499,0.99881,1,0.995,0.83089,0.72934,0.36057,1.24026,0.0005314,0.0005314,0.0005314
73,8796.62,0.57949,0.40267,1.20594,0.99864,1,0.995,0.83172,0.69801,0.34985,1.20248,0.0005248,0.0005248,0.0005248
74,8890.43,0.60467,0.3888,1.21907,0.99771,1,0.995,0.84242,0.67551,0.33988,1.17919,0.0005182,0.0005182,0.0005182
75,8981.36,0.61208,0.40077,1.22727,0.99841,1,0.995,0.8453,0.65188,0.35495,1.13119,0.0005116,0.0005116,0.0005116
76,9073.04,0.59393,0.39486,1.21823,0.99898,1,0.995,0.84173,0.67537,0.34755,1.15747,0.000505,0.000505,0.000505
77,9164.23,0.60128,0.40287,1.21272,0.99913,1,0.995,0.83034,0.68543,0.34258,1.17333,0.0004984,0.0004984,0.0004984
78,9264.5,0.59061,0.38649,1.19645,0.99828,1,0.995,0.85578,0.65417,0.34994,1.1565,0.0004918,0.0004918,0.0004918
79,9365.43,0.58967,0.36704,1.20698,0.99704,1,0.995,0.85123,0.67167,0.37123,1.18273,0.0004852,0.0004852,0.0004852
80,9467.09,0.58477,0.37046,1.20638,0.99802,1,0.995,0.83701,0.66579,0.35904,1.15043,0.0004786,0.0004786,0.0004786
81,9566.02,0.64986,0.41902,1.24477,0.99689,1,0.995,0.85687,0.64059,0.33128,1.16283,0.000472,0.000472,0.000472
82,9657.48,0.57014,0.38187,1.18691,0.99888,1,0.995,0.83209,0.70835,0.32254,1.26923,0.0004654,0.0004654,0.0004654
83,9749.87,0.5746,0.36942,1.19106,0.99862,1,0.995,0.85106,0.68331,0.33969,1.21637,0.0004588,0.0004588,0.0004588
84,9841.9,0.60626,0.38931,1.21862,0.99902,1,0.995,0.86562,0.67841,0.33197,1.26335,0.0004522,0.0004522,0.0004522
85,9935.28,0.61763,0.41207,1.22746,0.99887,1,0.995,0.86119,0.66221,0.3075,1.23177,0.0004456,0.0004456,0.0004456
86,10027.6,0.60705,0.40464,1.20223,0.99957,1,0.995,0.84753,0.68112,0.30472,1.2152,0.000439,0.000439,0.000439
87,10120.6,0.55639,0.38862,1.16433,0.99917,1,0.995,0.85938,0.65799,0.30656,1.15724,0.0004324,0.0004324,0.0004324
88,10217.3,0.57088,0.36987,1.17301,0.99907,1,0.995,0.85685,0.66635,0.30713,1.16916,0.0004258,0.0004258,0.0004258
89,10314.4,0.59113,0.38053,1.19422,0.99891,1,0.995,0.84608,0.70449,0.30932,1.17127,0.0004192,0.0004192,0.0004192
90,10410.6,0.57217,0.36476,1.20061,0.98756,1,0.9949,0.84689,0.68631,0.32542,1.15907,0.0004126,0.0004126,0.0004126
91,10504.8,0.58495,0.38044,1.19075,0.99856,1,0.995,0.86193,0.63575,0.32029,1.12676,0.000406,0.000406,0.000406
92,10604.5,0.54656,0.36447,1.17612,0.99876,1,0.995,0.87093,0.64958,0.30222,1.09094,0.0003994,0.0003994,0.0003994
93,10700.9,0.6177,0.39857,1.22817,0.99961,1,0.995,0.86911,0.608,0.27459,1.06386,0.0003928,0.0003928,0.0003928
94,10798.9,0.56472,0.3666,1.16618,0.99902,1,0.995,0.86922,0.6391,0.30694,1.18254,0.0003862,0.0003862,0.0003862
95,10901,0.54471,0.35261,1.15984,0.99354,1,0.995,0.86373,0.67186,0.31517,1.20734,0.0003796,0.0003796,0.0003796
96,11007.5,0.58724,0.38102,1.19105,1,0.98962,0.995,0.85279,0.68943,0.32905,1.20712,0.000373,0.000373,0.000373
97,11100.3,0.55222,0.38012,1.16709,1,0.9955,0.995,0.87774,0.64287,0.32541,1.1727,0.0003664,0.0003664,0.0003664
98,11194,0.6041,0.3934,1.21466,0.99627,0.99,0.99471,0.88254,0.64471,0.3139,1.1773,0.0003598,0.0003598,0.0003598
99,11291,0.56675,0.37109,1.17667,1,0.99494,0.995,0.85296,0.68422,0.30772,1.22747,0.0003532,0.0003532,0.0003532
100,11391.9,0.58423,0.37127,1.18474,0.99725,1,0.995,0.87083,0.68386,0.32338,1.29095,0.0003466,0.0003466,0.0003466
101,11492.2,0.54532,0.35202,1.18561,0.99855,1,0.995,0.86424,0.68358,0.31274,1.26399,0.00034,0.00034,0.00034
102,11593.1,0.54706,0.36049,1.18547,0.99929,0.98,0.99442,0.85926,0.69022,0.31873,1.20523,0.0003334,0.0003334,0.0003334
103,11684.1,0.53327,0.34971,1.18037,1,0.97189,0.99442,0.84741,0.69606,0.3202,1.19778,0.0003268,0.0003268,0.0003268
