epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.0327,2.18851,2.34813,1.68406,0.03341,0.48491,0.20587,0.06347,2.49382,2.63616,1.92929,0.07228,0.00028,0.00028
2,185.85,2.00761,1.7496,1.52719,0.80433,0.20522,0.37109,0.12726,2.28646,2.50154,1.70793,0.0435662,0.000566238,0.000566238
3,277.052,2.00765,1.65763,1.49178,0.55972,0.48065,0.49724,0.17428,2.27977,1.84874,1.68814,0.0148486,0.000848648,0.000848648
4,366.687,2.01097,1.67613,1.4984,0.48449,0.49828,0.42582,0.13468,2.1968,1.76473,1.7266,0.0009802,0.0009802,0.0009802
5,458.932,1.95976,1.63627,1.52306,0.49372,0.53444,0.51421,0.19041,1.97194,1.67804,1.57579,0.0009736,0.0009736,0.0009736
6,552.333,1.9398,1.60361,1.49479,0.61003,0.56656,0.58857,0.22049,1.93556,1.66084,1.50809,0.000967,0.000967,0.000967
7,646.161,1.93728,1.53948,1.49759,0.66161,0.60797,0.63334,0.24744,1.88797,1.56802,1.45377,0.0009604,0.0009604,0.0009604
8,740.25,1.89028,1.53418,1.45037,0.66612,0.62848,0.65467,0.26086,1.84587,1.563,1.41367,0.0009538,0.0009538,0.0009538
9,831.529,1.89334,1.51551,1.46193,0.68555,0.62616,0.68116,0.27633,1.86161,1.50306,1.42281,0.0009472,0.0009472,0.0009472
10,919.363,1.89521,1.53439,1.48536,0.56969,0.63429,0.62263,0.23701,1.87808,1.56966,1.45905,0.0009406,0.0009406,0.0009406
11,1007.44,1.86201,1.46278,1.43246,0.62996,0.62345,0.65192,0.2672,1.87286,1.48084,1.46201,0.000934,0.000934,0.000934
12,1095.46,1.92779,1.48891,1.47015,0.6104,0.61881,0.60335,0.21798,2.01576,1.52436,1.57523,0.0009274,0.0009274,0.0009274
13,1183.21,1.86662,1.47617,1.45113,0.66622,0.66816,0.69741,0.28534,1.84713,1.45208,1.43968,0.0009208,0.0009208,0.0009208
14,1270.86,1.84653,1.48988,1.45322,0.6041,0.60952,0.63579,0.2556,1.84987,1.55439,1.44162,0.0009142,0.0009142,0.0009142
15,1360.35,1.84215,1.44531,1.39412,0.73707,0.68023,0.72368,0.30053,1.81348,1.43528,1.38138,0.0009076,0.0009076,0.0009076
16,1448.08,1.80528,1.43425,1.42644,0.72471,0.6938,0.7235,0.30234,1.82219,1.41899,1.3983,0.000901,0.000901,0.000901
17,1536.33,1.82908,1.37801,1.39855,0.70572,0.68073,0.68795,0.26531,1.90219,1.43493,1.46782,0.0008944,0.0008944,0.0008944
18,1625.71,1.84777,1.41015,1.38896,0.707,0.73839,0.69493,0.27488,1.87794,1.43055,1.44347,0.0008878,0.0008878,0.0008878
19,1714.41,1.84674,1.42664,1.42997,0.64137,0.65402,0.6509,0.24389,1.9863,1.49918,1.51671,0.0008812,0.0008812,0.0008812
20,1803.29,1.8285,1.41325,1.41151,0.73435,0.71362,0.73843,0.30273,1.82669,1.42201,1.37972,0.0008746,0.0008746,0.0008746
21,1891.98,1.8123,1.40275,1.40347,0.67708,0.66781,0.6842,0.26754,1.88871,1.46295,1.44067,0.000868,0.000868,0.000868
22,1981,1.83968,1.41306,1.39995,0.71333,0.66176,0.70538,0.30438,1.8154,1.41168,1.38581,0.0008614,0.0008614,0.0008614
23,2068.86,1.81459,1.38996,1.39543,0.71985,0.62616,0.67016,0.26211,1.95348,1.44436,1.47959,0.0008548,0.0008548,0.0008548
24,2158.96,1.82441,1.35171,1.39234,0.75164,0.70317,0.74309,0.3061,1.83636,1.39788,1.3947,0.0008482,0.0008482,0.0008482
